LotArea	OverallQual	YearBuilt	SalePrice
8450	7	2003	208500
9600	6	1976	181500
11250	7	2001	223500
9550	7	1915	140000
14260	8	2000	250000
14115	5	1993	143000
10084	8	2004	307000
10382	7	1973	200000
6120	7	1931	129900
7420	5	1939	118000
11200	5	1965	129500
11924	9	2005	345000
12968	5	1962	144000
10652	7	2006	279500
10920	6	1960	157000
6120	7	1929	132000
11241	6	1970	149000
10791	4	1967	90000
13695	5	2004	159000
7560	5	1958	139000
14215	8	2005	325300
7449	7	1930	139400
9742	8	2002	230000
4224	5	1976	129900
8246	5	1968	154000
14230	8	2007	256300
7200	5	1951	134800
11478	8	2007	306000
16321	5	1957	207500
6324	4	1927	68500
8500	4	1920	40000
8544	5	1966	149350
11049	8	2007	179900
10552	5	1959	165500
7313	9	2005	277500
13418	8	2004	309000
10859	5	1994	145000
8532	5	1954	153000
7922	5	1953	109000
6040	4	1955	82000
8658	6	1965	160000
16905	5	1959	170000
9180	5	1983	144000
9200	5	1975	130250
7945	5	1959	141000
7658	9	2005	319900
12822	7	2003	239686
11096	8	2006	249700
4456	4	1920	113000
7742	5	1966	127000
13869	6	1997	177000
6240	6	1934	114500
8472	5	1963	110000
50271	9	1981	385000
7134	5	1955	130000
10175	6	1964	180500
2645	8	1999	172500
11645	7	2004	196500
13682	10	2006	438780
7200	5	1972	124900
13072	6	2004	158000
7200	5	1920	101000
6442	8	2006	202500
10300	7	1921	140000
9375	7	1997	219500
9591	8	2004	317000
19900	7	1970	180000
10665	7	2003	226000
4608	4	1945	80000
15593	7	1953	225000
13651	7	1973	244000
7599	4	1982	129500
10141	7	1998	185000
10200	5	1954	144900
5790	3	1915	107400
1596	4	1973	91000
8475	4	1956	135750
8635	5	1948	127000
10778	4	1968	136500
10440	5	1910	110000
13000	6	1968	193500
4500	6	1998	153500
10206	8	2007	245000
8892	5	1960	126500
8530	7	1995	168500
16059	8	1991	260000
11911	6	2005	174000
3951	6	2009	164500
8470	3	1915	85000
8070	4	1994	123600
7200	4	1950	109900
8500	5	1961	98600
13360	5	1921	163500
7200	6	1910	133900
9337	6	1997	204750
9765	6	1993	185000
10264	7	1999	214000
10921	4	1965	94750
10625	5	1920	83000
9320	4	1959	128950
10603	6	1977	205000
9206	6	1985	178000
7018	5	1979	118964
10402	7	2009	198900
7758	7	1931	169500
9375	8	2003	250000
10800	4	1885	100000
6000	5	1948	115000
8500	5	1919	115000
11751	6	1977	190000
9525	6	1954	136900
7750	7	2000	180000
9965	7	2007	383970
21000	6	1953	217000
7259	6	1945	259500
3230	6	1999	176000
11616	5	1962	139000
8536	5	2006	155000
12376	7	1990	320000
8461	6	2005	163990
21453	6	1969	180000
6060	4	1939	100000
9464	6	1958	136000
7892	6	1993	153900
17043	6	1979	181000
6780	6	1935	84500
4928	6	1976	128000
4388	5	1930	87000
7590	6	1966	155000
8973	5	1958	150000
14200	7	1966	226000
12224	6	2000	244000
7388	5	1959	150750
6853	8	2001	220000
10335	5	1968	180000
10400	7	1970	174000
10355	5	1967	143000
11070	7	1988	171000
9066	8	1999	230000
15426	6	1997	231500
10500	4	1971	115000
11645	7	2005	260000
8520	5	1952	166000
10335	7	1999	204000
9100	5	1963	125000
2522	6	2004	130000
6120	5	1931	105000
9505	7	2001	222500
7500	7	2004	141000
6240	5	1936	115000
10356	5	1975	122000
13891	8	2007	372402
14803	6	1971	190000
13500	6	1960	235000
11340	6	1923	125000
9600	6	1924	79000
7200	5	1950	109500
12003	8	2009	269500
12552	7	2004	254900
19378	7	2005	320000
11120	6	1984	162500
13688	9	2003	412500
12182	7	2005	220000
5500	4	1956	103200
5400	6	1926	152000
10106	5	1940	127500
10708	5	1955	190000
10562	8	2007	325624
8244	7	2004	183500
16669	8	1981	228000
12358	5	1941	128500
31770	6	1960	215000
5306	7	1987	239000
10197	6	1961	163000
12416	6	1986	184000
12615	6	1950	243000
10029	6	1988	211000
13650	5	1958	172500
17423	9	2008	501837
8520	5	1923	100000
2117	6	2000	177000
7588	7	1920	200100
9060	5	1957	120000
11426	7	2003	200000
7438	5	1908	127000
22950	10	1892	475000
9947	7	1990	173000
10410	5	1916	135000
7018	5	1979	153337
4923	8	2001	286000
10570	8	1932	315000
7472	7	1972	184000
9017	7	1999	192000
2522	7	2004	130000
7180	5	1972	127000
2280	6	1976	148500
9416	7	2007	311872
25419	8	1918	235000
5520	6	1912	104000
9591	8	2004	274900
8546	4	2003	140000
10125	6	1977	171500
7000	6	1924	112000
4438	6	2004	149000
3500	5	1947	110000
11851	7	1990	180500
13673	5	1962	143900
12493	4	1960	141000
14364	7	1988	277000
8250	6	1964	145000
5604	5	1925	98000
10420	6	2009	186000
8640	7	2009	252678
13568	5	1995	156000
10900	6	1977	161750
10011	5	1957	134450
8450	7	2004	210000
9906	4	1925	107000
15660	7	1939	311500
3010	7	2005	167240
8990	7	2006	204900
8068	6	2002	200000
11475	6	1975	179900
10500	4	1971	97000
13472	10	2003	386250
1680	5	1971	112000
9950	7	1995	290000
1869	6	1970	106000
8521	5	1967	125000
3182	7	2005	192500
8760	6	1959	148000
15138	8	1995	403000
1680	6	1972	94500
10650	5	1976	128200
7851	6	2002	216500
1680	6	1971	89500
8773	7	2004	185500
9453	7	1993	194500
12030	8	2007	318000
8741	6	1945	113000
9000	8	2008	262500
3880	5	1945	110500
5000	5	1900	79000
10762	6	1980	120000
8880	7	1994	205000
10400	7	1988	241500
9142	6	1910	137000
11310	6	1954	140000
11317	7	2003	180000
159000	6	1958	277000
5350	3	1940	76500
4750	8	2006	235000
8366	6	2004	173000
9350	6	1964	158000
8400	5	1957	145000
8738	7	1999	230000
8791	6	2003	207500
8814	7	2006	220000
12435	7	2001	231500
12702	5	1956	97000
19296	6	1962	176000
9588	8	2007	276000
8471	6	1977	151000
5500	5	1929	130000
5232	5	1925	73000
12090	6	1981	175500
11207	6	1997	185000
8400	5	1939	179500
6900	5	1940	120500
7917	6	1976	148000
10728	8	2006	266000
39104	7	1954	241500
11764	8	1999	290000
9600	6	1958	139000
8314	5	1982	124500
7264	7	1925	205000
9196	7	2003	201000
19138	4	1951	141000
14450	9	2006	415298
10005	7	1977	192000
11287	7	1989	228500
7200	6	2006	185000
5063	7	2007	207500
9612	8	2008	244600
8012	6	1992	179200
4251	7	2006	164700
9786	6	1962	159000
8125	4	1971	88000
9819	5	1967	122000
8730	6	1915	153575
15611	8	2006	233230
5687	5	1912	135900
11409	5	1949	131000
16659	7	1977	235000
9600	6	1953	167000
7937	6	1984	142500
13710	5	1950	152000
7399	7	1997	239000
11700	6	1968	175000
14000	6	1950	158500
15750	5	1953	157000
16226	8	1998	267000
13704	7	2001	205000
9800	5	1972	149900
18386	7	1880	295000
10386	8	2004	305900
13474	7	1990	225000
7920	6	1920	89500
12342	4	1940	82500
12378	9	2003	360000
7685	6	1993	165600
8000	6	1948	132000
7800	5	1939	119900
215245	7	1965	375000
9600	7	1925	178000
7795	7	2004	188500
13005	7	1980	260000
9000	8	2006	270000
9900	7	1993	260000
14115	7	1980	187500
16259	9	2006	342643
12099	8	2004	354000
10380	7	1986	301000
5820	3	1955	126175
11275	7	1967	242000
5000	5	1941	87000
10846	8	1993	324000
11600	6	1960	145250
11888	6	1916	214500
6402	5	1920	78000
10624	5	1964	119000
8176	5	1958	139000
10655	8	2003	284000
8198	7	2004	207000
9042	6	1998	192000
164660	5	1965	228950
14157	9	2005	377426
9135	7	2002	214000
14145	7	1984	202500
